
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="UC share x 1[2011] x 1[10th-Plan district]",="-0.009",="-0.014",="0.010",="-0.076***",="-0.102***",="-0.044",="-0.061*",="-0.083"
="",="(0.023)",="(0.028)",="(0.026)",="(0.026)",="(0.039)",="(0.044)",="(0.032)",="(0.058)"

="N",="500484",="440284",="485552",="476286",="324442",="461666",="461666",="461666"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.28",="     0.30",="     0.10",="     0.35"

