
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="SC-ST share x 1[2011] x 1[10th-Plan district]",="-0.023",="-0.018",="-0.050**",="0.024",="0.017",="0.035",="0.062**",="0.025"
="",="(0.020)",="(0.028)",="(0.023)",="(0.024)",="(0.033)",="(0.040)",="(0.031)",="(0.055)"

="N",="500484",="440284",="485552",="476286",="324442",="461666",="461666",="461666"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.28",="     0.30",="     0.10",="     0.35"

