
="post_dist_town",="-0.001*",="-0.000",="-0.000",="0.000*",="-0.001",="-0.001***",="-0.001***",="-0.001***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)"

="1[Purdah]",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1[Purdah] x 1[2011]",="0.007",="0.038",="0.061**",="0.009",="-0.041",="-0.050",="-0.099***",="-0.067"
="",="(0.032)",="(0.024)",="(0.026)",="(0.023)",="(0.045)",="(0.048)",="(0.035)",="(0.054)"

="1[Purdah] x 1[2011] x 1[10th-Plan district]",="-0.033",="-0.075**",="-0.089***",="0.012",="-0.018",="-0.052",="0.113***",="-0.007"
="",="(0.033)",="(0.029)",="(0.025)",="(0.031)",="(0.056)",="(0.050)",="(0.037)",="(0.057)"

="N",="61446",="57415",="60506",="58562",="40950",="57517",="57517",="57517"
="Mean of dep var",="     0.13",="     0.16",="     0.08",="     0.18",="     0.23",="     0.21",="     0.06",="     0.22"

