
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="UC p75 x 1[2011] x 1[10th-Plan district]",="0.003",="0.007",="0.006",="-0.026**",="-0.013",="-0.014",="-0.018*",="-0.027"
="",="(0.008)",="(0.008)",="(0.009)",="(0.011)",="(0.013)",="(0.017)",="(0.011)",="(0.021)"

="N",="510272",="444889",="493987",="485534",="328779",="469887",="469887",="469887"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.27",="     0.30",="     0.10",="     0.35"

