
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[1991]",="0.004",="-0.001",="-0.001",="-0.003",="0.003",="-0.012",="-0.005",="-0.005"
="",="(0.007)",="(0.008)",="(0.010)",="(0.016)",="(0.013)",="(0.010)",="(0.007)",="(0.020)"

="1[10th-Plan district] x 1[2011]",="0.008*",="0.007",="0.001",="0.001",="0.027***",="0.018*",="0.002",="0.021"
="",="(0.005)",="(0.006)",="(0.006)",="(0.007)",="(0.006)",="(0.010)",="(0.008)",="(0.017)"

="N",="940721",="803912",="915320",="859575",="540749",="811248",="811248",="811248"
="Mean of dep var",="     0.27",="     0.34",="     0.20",="     0.23",="     0.30",="     0.32",="     0.11",="     0.36"

