
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="UC share x 1[2011] x 1[10th-Plan district]",="-0.013",="-0.015",="0.002",="-0.053",="0.020",="0.029",="0.015",="0.031"
="",="(0.025)",="(0.029)",="(0.028)",="(0.039)",="(0.034)",="(0.026)",="(0.011)",="(0.043)"

="N",="1076910",="911772",="1057852",="954772",="580429",="893789",="893789",="893789"
="Mean of dep var",="     0.25",="     0.31",="     0.22",="     0.17",="     0.28",="     0.20",="     0.03",="     0.27"

