
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="UC share x 1[2011] x 1[10th-Plan district]",="-0.005",="-0.011",="0.014",="-0.069**",="-0.103***",="-0.052",="-0.064**",="-0.091"
="",="(0.022)",="(0.027)",="(0.026)",="(0.027)",="(0.039)",="(0.044)",="(0.031)",="(0.057)"

="N",="510272",="444889",="493987",="485534",="328779",="469887",="469887",="469887"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.27",="     0.30",="     0.10",="     0.35"

