
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="SC-ST share x 1[2011] x 1[10th-Plan district]",="0.017",="0.023",="0.005",="-0.015",="0.006",="0.014",="-0.001",="0.029"
="",="(0.016)",="(0.020)",="(0.017)",="(0.024)",="(0.024)",="(0.020)",="(0.012)",="(0.029)"

="N",="1076910",="911772",="1057852",="954772",="580429",="893789",="893789",="893789"
="Mean of dep var",="     0.25",="     0.31",="     0.22",="     0.17",="     0.28",="     0.20",="     0.03",="     0.27"

